stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
10558,37903-1,Kehra raudteejaam,59.3368791,25.332936,,,,0,,,,,Harju4B,Kehra,Anija vald,Harjumaa,6578396.001,575856.295,KP 22.09.16 nime muudatus Kehra - Kehra raudteejaam,Anija VV määrus 11.10.2016 nr 2-3/482
30266,7800236-1,Kero,58.2955033,27.3894323,Parapalu suunas,,,0,,,,,,,Räpina vald,Põlvamaa,6466667.999,698679.187,,
22996,7000308-1,Looritsa,58.7952378,24.2366987,,,,0,,,,,Rapla3,,Märjamaa vald,Raplamaa,6517332.0,513684.093,,Vigala VV määrus 29.10.2015 nr 56
25983,8200042-1,Annimatsi,58.0411167,26.441239,Sangaste suunas,,,0,,,,,,,Otepää vald,Valgamaa,6435937.939,644158.95,,
152666,5100689-1,Saare,58.9330261,25.8559357,,,,0,,,,,,,Kareda vald,Järvamaa,6534133.93,606857.81,,
14382,09307-1,Paagi,59.463735,24.701493,,,,0,,,,,Harju1,,Põhja-Tallinn,Tallinna linn,6591982.47,539775.5,,
23861,8200405-1,Palu,57.9895713,26.2629418,Kuigatsi suunas,,,0,,,,,,,Otepää vald,Valgamaa,6429831.01,633828.02,,
25754,5700372-1,Silla,58.85748,24.07182,,,,0,,,,,Laane3,,Lääne-Nigula vald,Läänemaa,6524242.922,504144.663,,Lääne-Nigula VV 15.11.2022 nr 2-3/22-546
151278,37917-1,Paberi,59.3414077,25.3359747,,,,0,,,,,Harju4B,,Anija vald,Harjumaa,6578903.822,576019.152,lisatud 03.2021,Anija VV määrus 30.03.2021 nr 2-3/160
130658,23701-1,Kuremarja,59.500837,24.8693519,,,,0,,,,,Harju2,,Viimsi vald,Harjumaa,6596227.0,549239.25,Endine Pärnamäe tee,Viimsi VV korraldus 14.10.2020 nr 599
30250,6701105-1,Uulu,58.2835828,24.5765825,,,,0,,,,,,Uulu,Häädemeeste vald,Pärnumaa,6460464.969,533823.06,,
28385,7400522-1,Paadla,58.2880378,22.3144128,,,,0,,,,,,,Saaremaa vald,Saaremaa,6462057.94,401142.969,,
116489,5900115-1,Inju tee,59.2635277,26.3527186,,,,0,,,,,Viru1,,Vinni vald,Lääne-Virumaa,6571823.999,634159.187,541a/post puudub (27.03.2018),Vinni VV korraldus 3.05.2018 nr 205
154793,6720037-1,Hedon,58.3755633,24.4971716,,,,0,,,,,,,Pärnu linn,Pärnu linn,6470672.0,529088.875,,
25040,7801122-1,Viru,58.4989483,27.0729697,Koosa suunas,,,0,,,,,,,Peipsiääre vald,Tartumaa,6488409.99,679104.95,,
1005,05705-1,Nurme,59.3792091,24.6935963,,,,0,,,,,Harju1,,Nõmme,Tallinna linn,6582561.75,539425.13,,
29640,6500483-1,Pragi,57.9860115,27.0332219,Sika teeristi suunas,,,0,,,,,,,Põlva vald,Põlvamaa,6431233.159,679372.4,,
